"","rules","support","confidence","coverage","lift","count"
"37","{Types_of_waters=溪河,Region=北部} => {Drowning_results=獲救}",0.202898550724638,0.67379679144385,0.301127214170692,1.29144385026738,252
"36","{Types_of_waters=溪河,Is_Holiday=True} => {Drowning_results=獲救}",0.144927536231884,0.659340659340659,0.219806763285024,1.26373626373626,180
"35","{Types_of_waters=溪河,Season=Fall} => {Drowning_results=獲救}",0.139291465378422,0.723849372384937,0.192431561996779,1.3873779637378,173
"34","{Region=北部,Season=Fall} => {Drowning_results=獲救}",0.138486312399356,0.738197424892704,0.187600644122383,1.41487839771102,172
"4","{Age=3} => {Drowning_results=死亡}",0.128019323671498,0.6625,0.193236714975845,1.38522727272727,159
"33","{Is_Holiday=True,Season=Fall} => {Drowning_results=獲救}",0.119967793880837,0.712918660287081,0.168276972624799,1.36642743221691,149
"3","{Region=中部} => {Drowning_results=死亡}",0.109500805152979,0.723404255319149,0.151368760064412,1.51257253384913,136
"32","{Types_of_waters=溪河,Gender=女} => {Drowning_results=獲救}",0.109500805152979,0.657004830917874,0.166666666666667,1.25925925925926,136
"31","{Region=北部,time_period=Noon} => {Drowning_results=獲救}",0.104669887278583,0.680628272251309,0.15378421900161,1.30453752181501,130
"27","{Types_of_waters=溪河,Age=1} => {Drowning_results=獲救}",0.101449275362319,0.67379679144385,0.150563607085346,1.29144385026738,126
"30","{Is_Holiday=True,time_period=Noon} => {Drowning_results=獲救}",0.101449275362319,0.67741935483871,0.14975845410628,1.29838709677419,126
"2","{Drowning_reasons=翻船} => {Drowning_results=獲救}",0.0966183574879227,0.902255639097744,0.107085346215781,1.72932330827068,120
"26","{Age=1,Region=北部} => {Drowning_results=獲救}",0.0901771336553945,0.7,0.128824476650564,1.34166666666667,112
"29","{Season=Fall,time_period=Noon} => {Drowning_results=獲救}",0.0869565217391304,0.73469387755102,0.118357487922705,1.40816326530612,108
"28","{Age=1,Is_Holiday=False} => {Drowning_results=獲救}",0.0861513687600644,0.656441717791411,0.131239935587762,1.2581799591002,107
"73","{Types_of_waters=溪河,Gender=男,time_period=Noon} => {Drowning_results=獲救}",0.0772946859903382,0.653061224489796,0.118357487922705,1.25170068027211,96
"75","{Gender=男,Is_Holiday=False,Season=Summer} => {Drowning_results=死亡}",0.0748792270531401,0.654929577464789,0.114331723027375,1.36939820742638,93
"22","{Drowning_reasons=自殺,Region=南部} => {Drowning_results=獲救}",0.07085346215781,0.651851851851852,0.108695652173913,1.24938271604938,88
"23","{Gender=女,Age=1} => {Drowning_results=獲救}",0.0676328502415459,0.730434782608696,0.0925925925925926,1.4,84
"21","{Gender=女,Region=南部} => {Drowning_results=獲救}",0.0668276972624799,0.680327868852459,0.0982286634460548,1.30396174863388,83
"24","{Drowning_reasons=自殺,Age=1} => {Drowning_results=獲救}",0.0668276972624799,0.728070175438597,0.0917874396135266,1.39546783625731,83
"25","{Age=1,Season=Fall} => {Drowning_results=獲救}",0.0668276972624799,0.709401709401709,0.0942028985507246,1.35968660968661,83
"72","{Types_of_waters=溪河,Age=2,time_period=Noon} => {Drowning_results=獲救}",0.0636070853462158,0.692982456140351,0.0917874396135266,1.32821637426901,79
"74","{Gender=男,Age=2,Season=Summer} => {Drowning_results=死亡}",0.0636070853462158,0.669491525423729,0.0950080515297907,1.39984591679507,79
"20","{Age=1,Region=南部} => {Drowning_results=獲救}",0.0571658615136876,0.696078431372549,0.0821256038647343,1.33415032679739,71
"18","{Types_of_waters=近海(海岸線1公里內),Region=北部} => {Drowning_results=獲救}",0.0555555555555556,0.657142857142857,0.0845410628019324,1.25952380952381,69
"19","{Gender=女,Season=Spring} => {Drowning_results=獲救}",0.0531400966183575,0.673469387755102,0.0789049919484702,1.29081632653061,66
"78","{Drowning_reasons=自殺,Gender=男,Age=2} => {Drowning_results=死亡}",0.0531400966183575,0.653465346534653,0.0813204508856683,1.36633663366337,66
"1","{Types_of_waters=圳溝} => {Drowning_results=死亡}",0.0515297906602254,0.761904761904762,0.0676328502415459,1.59307359307359,64
"17","{Gender=女,time_period=Night} => {Drowning_results=獲救}",0.0507246376811594,0.692307692307692,0.0732689210950081,1.32692307692308,63
