Types_of_waters,Drowning_reasons,Gender,Age,Region,Is_Holiday,Season,time_period,Drowning_results
溪河,自殺,女,46.0,北部,True,Winter,Noon,獲救
溪河,自殺,男,58.0,北部,True,Winter,Noon,死亡
溪河,自殺,女,19.0,北部,False,Spring,Noon,獲救
溪河,自殺,男,77.0,北部,True,Spring,Evening,獲救
溪河,自殺,女,29.0,北部,False,Spring,Night,獲救
溪河,自殺,男,70.0,北部,False,Spring,Night,死亡
溪河,自殺,女,86.0,北部,False,Spring,Dawn,獲救
溪河,自殺,男,50.0,北部,False,Summer,Noon,死亡
溪河,自殺,女,18.0,北部,False,Summer,Dawn,獲救
游泳池,戲水,男,19.0,北部,False,Summer,Evening,獲救
湖潭,自殺,女,21.0,北部,False,Summer,Dawn,死亡
溪河,失足,男,65.0,北部,True,Summer,Morning,獲救
溪河,自殺,女,24.0,北部,False,Summer,Dawn,獲救
溪河,自殺,女,39.0,北部,False,Summer,Night,獲救
溪河,翻船,男,47.0,北部,False,Summer,Noon,獲救
溪河,翻船,男,58.0,北部,False,Summer,Noon,獲救
溪河,自殺,男,23.0,北部,False,Summer,Dawn,獲救
其他,工作,男,61.0,北部,False,Summer,Evening,死亡
溪河,自殺,女,50.0,北部,False,Summer,Noon,死亡
溪河,自殺,男,37.0,北部,False,Summer,Morning,死亡
溪河,垂釣,男,62.0,北部,True,Fall,Noon,獲救
溪河,垂釣,男,62.0,北部,True,Fall,Noon,獲救
湖潭,自殺,女,26.0,北部,True,Fall,Morning,獲救
溪河,自殺,女,43.0,北部,False,Fall,Evening,死亡
溪河,自殺,女,66.0,北部,False,Fall,Noon,獲救
溪河,自殺,男,50.0,北部,False,Fall,Evening,獲救
溪河,自殺,女,30.0,北部,False,Fall,Evening,死亡
溪河,自殺,女,60.0,北部,False,Fall,Noon,獲救
溪河,工作,男,63.0,北部,False,Fall,Morning,死亡
溪河,工作,男,50.0,北部,False,Fall,Morning,獲救
溪河,其他,男,45.0,北部,False,Fall,Night,死亡
湖潭,自殺,女,79.0,北部,False,Fall,Morning,死亡
溪河,自殺,男,22.0,北部,False,Fall,Night,死亡
溪河,自殺,男,57.0,北部,False,Fall,Night,獲救
碼頭,失足,男,59.0,北部,True,Winter,Night,獲救
溪河,自殺,男,77.0,北部,True,Winter,Evening,死亡
溪河,翻船,男,50.0,北部,True,Winter,Noon,獲救
溪河,翻船,男,50.0,北部,True,Winter,Noon,獲救
溪河,翻船,女,50.0,北部,True,Winter,Noon,獲救
溪河,自殺,女,50.0,北部,False,Winter,Evening,獲救
溪河,自殺,女,31.0,北部,True,Winter,Evening,獲救
溪河,自殺,男,35.0,北部,False,Winter,Evening,死亡
溪河,自殺,女,19.0,北部,False,Winter,Evening,獲救
近海(海岸線1公里內),翻船,男,60.0,北部,False,Winter,Morning,獲救
溪河,自殺,女,76.0,北部,False,Winter,Noon,死亡
溪河,失足,女,50.0,北部,False,Winter,Morning,死亡
溪河,自殺,女,39.0,北部,False,Winter,Night,死亡
其他,自殺,男,25.0,北部,False,Winter,Noon,死亡
溪河,自殺,男,50.0,北部,True,Winter,Dawn,死亡
溪河,自殺,男,50.0,北部,False,Winter,Morning,死亡
近海(海岸線1公里內),自殺,女,50.0,北部,False,Spring,Dawn,死亡
溪河,失足,女,62.0,北部,True,Spring,Dawn,死亡
溪河,失足,女,81.0,北部,False,Spring,Morning,獲救
溪河,失足,男,84.0,北部,False,Spring,Noon,死亡
溪河,自殺,男,42.0,北部,False,Spring,Evening,獲救
溪河,自殺,男,50.0,北部,True,Spring,Noon,死亡
溪河,自殺,女,70.0,北部,False,Spring,Night,死亡
溪河,自殺,女,44.0,北部,False,Spring,Dawn,獲救
溪河,自殺,男,52.0,北部,False,Spring,Noon,死亡
溪河,自殺,男,48.0,北部,False,Spring,Night,獲救
溪河,救人,女,49.0,北部,False,Spring,Night,獲救
溪河,自殺,女,55.0,北部,False,Spring,Noon,死亡
溪河,自殺,女,45.0,北部,False,Spring,Noon,獲救
溪河,自殺,女,50.0,北部,True,Spring,Noon,獲救
其他,失足,女,12.0,北部,False,Spring,Morning,死亡
溪河,失足,女,28.0,北部,True,Spring,Night,獲救
近海(海岸線1公里內),失足,男,30.0,北部,True,Spring,Evening,死亡
近海(海岸線1公里內),潛水,男,46.0,北部,True,Spring,Evening,死亡
溪河,其他,女,21.0,北部,True,Spring,Evening,獲救
溪河,其他,男,20.0,北部,True,Spring,Evening,獲救
溪河,其他,男,30.0,北部,True,Spring,Evening,獲救
溪河,工作,男,49.0,北部,True,Spring,Evening,獲救
溪河,工作,男,54.0,北部,True,Spring,Evening,獲救
溪河,工作,男,56.0,北部,True,Spring,Evening,獲救
溪河,其他,女,50.0,北部,True,Spring,Evening,獲救
溪河,自殺,女,64.0,北部,False,Spring,Noon,獲救
溪河,失足,男,50.0,北部,False,Spring,Noon,死亡
近海(海岸線1公里內),失足,男,36.0,北部,True,Spring,Night,死亡
溪河,自殺,男,49.0,北部,False,Spring,Night,死亡
溪河,救人,男,58.0,北部,True,Spring,Evening,死亡
溪河,失足,男,55.0,北部,True,Spring,Morning,死亡
溪河,自殺,女,47.0,北部,False,Summer,Evening,死亡
溪河,自殺,女,50.0,北部,False,Summer,Night,獲救
碼頭,自殺,男,71.0,北部,False,Summer,Evening,死亡
湖潭,自殺,男,25.0,北部,False,Summer,Dawn,死亡
游泳池,戲水,男,6.0,北部,True,Summer,Noon,獲救
溪河,垂釣,男,17.0,北部,True,Summer,Evening,獲救
溪河,其他,男,31.0,北部,False,Summer,Dawn,獲救
溪河,自殺,男,64.0,北部,True,Summer,Evening,死亡
溪河,戲水,男,17.0,北部,False,Summer,Morning,死亡
湖潭,自殺,男,50.0,北部,False,Summer,Dawn,死亡
溪河,戲水,女,13.0,北部,False,Summer,Noon,獲救
溪河,潛水,男,27.0,北部,True,Summer,Evening,死亡
近海(海岸線1公里內),戲水,女,39.0,北部,False,Summer,Evening,獲救
近海(海岸線1公里內),戲水,女,6.0,北部,False,Summer,Evening,獲救
溪河,自殺,女,40.0,北部,False,Summer,Night,獲救
近海(海岸線1公里內),戲水,男,30.0,北部,True,Summer,Evening,獲救
近海(海岸線1公里內),戲水,男,30.0,北部,True,Summer,Evening,獲救
碼頭,戲水,男,58.0,北部,True,Summer,Dawn,獲救
近海(海岸線1公里內),戲水,女,15.0,北部,True,Summer,Night,獲救
近海(海岸線1公里內),戲水,男,17.0,北部,True,Summer,Night,獲救
近海(海岸線1公里內),戲水,女,17.0,北部,True,Summer,Night,獲救
近海(海岸線1公里內),戲水,男,17.0,北部,True,Summer,Night,獲救
溪河,自殺,男,60.0,北部,False,Summer,Morning,死亡
溪河,自殺,女,46.0,北部,False,Summer,Night,獲救
溪河,戲水,男,24.0,北部,False,Summer,Night,獲救
溪河,戲水,男,26.0,北部,False,Summer,Night,獲救
溪河,失足,男,18.0,北部,False,Summer,Noon,獲救
溪河,失足,男,18.0,北部,False,Summer,Noon,獲救
近海(海岸線1公里內),戲水,男,26.0,北部,True,Summer,Evening,獲救
近海(海岸線1公里內),潛水,男,60.0,北部,True,Summer,Morning,死亡
